"TIME","GEO","UNIT","SECTOR","COFOG99","NA_ITEM","Value","Flag and Footnotes"
"1990","Austria","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","Belgium","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","Bulgaria","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","Switzerland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","Cyprus","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","Czech Republic","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","Denmark","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","Estonia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","Greece","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","Spain","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","Finland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","France","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","Croatia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","Hungary","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","Ireland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","Iceland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","Italy","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","Lithuania","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","Luxembourg","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","Latvia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","Malta","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","Netherlands","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","Norway","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","Poland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","Portugal","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","Romania","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","Sweden","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","Slovenia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","Slovakia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1990","United Kingdom","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","Austria","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","Belgium","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","Bulgaria","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","Switzerland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","Cyprus","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","Czech Republic","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","Denmark","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","Estonia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","Greece","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","Spain","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","Finland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","France","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","Croatia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","Hungary","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","Ireland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","Iceland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","Italy","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","Lithuania","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","Luxembourg","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","Latvia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","Malta","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","Netherlands","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","Norway","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","Poland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","Portugal","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","Romania","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","Sweden","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
"1991","Slovenia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure",":",""
